imovel_Id;tipoImovel;valorImovel;areaRealPrivativa;latitude;longitude;quartos;banho;suites;vagaGaragem;valorCondominio;valorIptu;Cidade;Regiao;Bairro;Endereco
3215083;�rea Privativa;264900;106;-19,882746;-43,933319;2;1;1;1;370;103;belo-horizonte;nordeste;Ipiranga;Rua Pio Xi, 150
359457;Apartamento 2 quartos;269000;63;-19,8247225;-43,9810652;2;1;1;1;1;1;belo-horizonte;pampulha;Santa M�nica;Rua dos Uiac�s, 337
359462;Apartamento 3 quartos;269000;63;-19,824987;-43,981719;3;1;1;1;1;1;belo-horizonte;pampulha;Santa M�nica;Rua dos Uiac�s, 337
3266591;Lote-�rea-Terreno;269000;489;-19,8558646;-43,8822766;0;0;0;0;0;0;belo-horizonte;nordeste;Jardim Vit�ria;Rua Jos� Flausino, 45
359460;Apartamento 3 quartos;270000;63;-19,8247851;-43,9811781;3;1;1;1;1;1;belo-horizonte;pampulha;Santa M�nica;Rua dos Uiac�s, 337
2539670;Apartamento 3 quartos;270000;65;-19,9680256;-43,9687731;3;2;1;1;290;80;belo-horizonte;oeste;Buritis;Rua Ernani Agricola, 684
3237995;Apartamento 2 quartos;270000;62;-19,8967301;-43,9278742;2;2;0;1;500;99,88;belo-horizonte;leste;Cidade Nova;Avenida Cristiano Machado, 1837
3235183;Apartamento 3 quartos;275000;98;-19,8867489;-44,002116;3;1;1;2;200;106;belo-horizonte;pampulha;Castelo;Rua Jos� Mendes de Carvalho, 235
136579;Apartamento 3 quartos;280000;75;-19,9794719;-43,9632484;3;2;1;1;355;95;belo-horizonte;oeste;Buritis;Rua Jos� Hemet�rio Andrade, 485
340968;Apartamento 3 quartos;280000;64;-19,8911406;-43,9969796;3;1;1;1;140;62,78;belo-horizonte;pampulha;Castelo;Rua Desembargador Jos� Burnier, 13
364925;Cobertura;280000;116;-19,8194902;-43,9468701;3;2;1;1;1;998,15;belo-horizonte;norte;Juliana;Rua Tamarix, 79
1381166;Apartamento 2 quartos;280000;70;-19,894001;-43,931889;2;1;0;2;150;79,29;belo-horizonte;nordeste;Silveira;Rua Jo�o Lourival Dias, 67
1672645;Apartamento 2 quartos;280000;60;-19,8741246;-43,9991019;2;1;1;2;150;85;belo-horizonte;pampulha;Castelo;Rua Castelo de Ajuda, 363
3244769;Apartamento 2 quartos;280000;64;-19,886278;-43,941468;2;1;0;1;250;74,37;belo-horizonte;nordeste;Cachoeirinha;Rua Indian�polis, 1108
352010;Apartamento 3 quartos;285000;136;-19,894737;-43,906132;3;2;0;1;50;69;belo-horizonte;leste;Boa Vista;Rua Maria Francisca, 142
3258470;Apartamento 3 quartos;289000;98;-19,9326322;-43,9816216;3;2;1;1;185;0;belo-horizonte;oeste;Nova Su�ssa;Rua Monte Simplon, 464
3244038;Apartamento 3 quartos;290000;65;-19,9224626;-43,9153765;3;1;0;1;460;103,77;belo-horizonte;centro-sul;Santa Efig�nia;Rua Joao Ribeiro, 149
295725;Casa geminada;300000;50;-19,86796922;-43,93891763;2;1;0;1;160;75;belo-horizonte;;Santa Cruz;Rua Cl�udio Gomes de Souza, 314
1951765;Apartamento 2 quartos;300000;59;-19,8819433;-43,9202345;2;2;1;1;300;115;belo-horizonte;nordeste;Uni�o;Rua Nelson, 420
3245618;�rea Privativa;300000;100;-19,8693706;-43,9308741;2;2;0;1;220;85;belo-horizonte;nordeste;Ipiranga;Rua Delegado �lvaro Loureiro, 196
363056;Apartamento 3 quartos;305000;92;-19,904823;-43,938415;3;2;0;1;320;24,37;belo-horizonte;leste;Col�gio Batista;Rua Pitangui, 1010
1660777;Sala;305000;70;-19,9375766;-43,9382648;0;1;0;0;759;90,01;belo-horizonte;centro-sul;Funcion�rios;Rua Ant�nio de Albuquerque, 247
153287;Apartamento 3 quartos;310000;70;-19,8908224;-43,9239951;3;2;0;1;370;97,81;belo-horizonte;leste;Cidade Nova;Rua Irm�os Kennedy, 85
3245270;Apartamento 3 quartos;310000;80;-19,8939611;-43,9965264;3;1;1;1;320;77,15;belo-horizonte;pampulha;Castelo;Rua Doutor Lu�s Ratton, 30
334029;Apartamento 1 quarto;315000;42;-19,9444893;-43,9478106;1;1;1;1;600;200;belo-horizonte;centro-sul;Santo Ant�nio;Rua Teixeira de Freitas, 784
1691352;Casa geminada;315000;120;-19,876612;-44,005865;2;2;0;1;0,01;56;belo-horizonte;pampulha;Castelo;Rua Itamb� do Mato Dentro, 405
359439;�rea Privativa;319000;111;-19,8231659;-43,9822094;3;1;1;1;0,01;1;belo-horizonte;pampulha;Santa M�nica;Rua dos Uiac�s, 337
10870;Apartamento 3 quartos;320000;85;-19,874429;-43,930865;3;2;1;2;500;76,32;belo-horizonte;nordeste;Palmares;Rua Luiz Zuddio, 325
48766;Apartamento 3 quartos;320000;180;-19,8932141;-43,9225325;3;2;0;1;250;110;belo-horizonte;leste;Cidade Nova;Avenida Jos� C�ndido da Silveira, 183
2104831;�rea Privativa;320000;76;-19,8809885;-43,9974045;2;1;1;2;290;104,36;belo-horizonte;pampulha;Castelo;Rua Castelo de Alenquer, 430
344425;Apartamento 2 quartos;329000;60;-19,8831924;-43,9328715;2;2;1;2;300;109,09;belo-horizonte;nordeste;Ipiranga;Rua Patriarca, 515
3238366;Cobertura;329000;100;-19,85907;-43,943237;2;2;0;1;260;60;belo-horizonte;pampulha;Dona Clara;Rua Etelvina Vaz de Melo, 50
407309;Apartamento 1 quarto;330000;36;-19,9353037;-43,9317266;1;1;0;1;500;110,36;belo-horizonte;centro-sul;Funcion�rios;Rua Rio Grande do Norte, 641
1288136;Cobertura;330000;81;-19,889635;-43,9071617;1;1;0;2;280;87;belo-horizonte;leste;Nova Vista;Rua Campan�rio, 30
2187592;Apartamento 3 quartos;330000;90;-19,8885548;-44,0017363;3;1;1;1;300;88,68;belo-horizonte;pampulha;Castelo;Rua Cantor Luiz Gonzaga, 453
3265109;Apartamento 3 quartos;335000;87;-19,970249;-43,9725574;3;3;1;2;287;165,6;belo-horizonte;oeste;Buritis;Rua Professor Euclydes Ferreira, 359
352968;Apartamento 3 quartos;339000;76;-19,8728102;-43,9219833;3;2;1;1;370;88;belo-horizonte;nordeste;Fern�o Dias;Rua Aiuruoca, 25
354888;Apartamento 1 quarto;340000;52;-19,9320986;-43,9354659;1;0;1;1;513,56;136,68;belo-horizonte;centro-sul;Funcion�rios;Rua Alagoas , 750
2488976;Apartamento 3 quartos;340000;110;-19,9665056;-43,9690745;3;3;1;2;380;126;belo-horizonte;oeste;Buritis;Rua Paulo Diniz Carneiro, 525
365306;Apartamento 3 quartos;348000;70;-19,8725569;-43,9215871;3;2;1;1;330;99;belo-horizonte;nordeste;Fern�o Dias;Rua Aiuruoca, 25
340318;Lote-�rea-Terreno;349000;288;-19,8453375;-43,9028091;0;0;0;0;0;190;belo-horizonte;nordeste;Ouro Minas;Rua das Ursulinas, 56
39923;Apartamento 3 quartos;350000;95;-19,8843187;-43,9266717;3;3;1;2;280;110,25;belo-horizonte;leste;Cidade Nova;Rua Professor Lincoln Continentino, 118
339605;Cobertura;350000;110;-19,8298165;-43,9802253;2;2;1;2;257,82;104,27;belo-horizonte;pampulha;Santa M�nica;Rua dos Boror�s, 105
